# z   photoionization_HI   photoheating_HI   photoionization_HeI   photoheating_HeI   photoionization_HeII   photoheating_HeII 
5.035000000000000142e+00 5.777782758620689154e-13 2.168534482758620535e-12 2.820910344827586561e-13 1.593755172413793469e-12 1.129251851851851902e-17 5.438074074074073809e-16
5.107499999999999929e+00 5.752432758620689671e-13 2.162684482758620919e-12 2.824810344827586675e-13 1.595705172413793274e-12 1.038277777777777350e-17 4.989111111111109329e-16
5.179999999999999716e+00 5.727082758620690188e-13 2.156834482758620898e-12 2.828710344827586790e-13 1.597655172413793078e-12 9.557103448275865322e-18 4.576606896551726278e-16
5.334999999999999964e+00 5.648835483870968024e-13 2.131664516129031993e-12 2.810264516129032252e-13 1.585790322580645178e-12 8.263655172413788230e-18 3.899310344827583195e-16
5.412499999999999645e+00 5.603985483870968473e-13 2.116064516129032342e-12 2.794664516129032298e-13 1.576040322580645345e-12 7.616931034482757387e-18 3.560662068965516091e-16
5.490000000000000213e+00 5.559135483870967912e-13 2.100464516129032287e-12 2.779064516129032344e-13 1.566290322580645311e-12 7.076903225806448032e-18 3.275303225806449648e-16
5.650000000000000355e+00 5.262074999999999063e-13 1.985831249999999743e-12 2.613487499999999268e-13 1.468837499999999596e-12 6.168516129032256335e-18 2.789316129032256936e-16
5.730000000000000426e+00 5.067074999999998379e-13 1.909781249999999476e-12 2.500387499999998972e-13 1.402537499999999566e-12 5.714322580645158175e-18 2.546322580645159101e-16
5.809999999999999609e+00 4.872075000000000725e-13 1.833731250000000018e-12 2.387287500000000191e-13 1.336237499999999939e-12 5.357000000000000846e-18 2.347950000000000021e-16
5.974999999999999645e+00 3.103280818181815523e-13 1.168792181818180748e-12 1.519547545454544409e-13 8.523071818181812133e-13 4.739899999999998945e-18 1.994024999999999403e-16
6.057499999999999218e+00 1.921795318181822061e-13 7.258691818181832621e-13 9.477490454545472724e-14 5.348666818181828347e-13 4.431350000000003002e-18 1.817062500000001312e-16
6.139999999999999680e+00 7.403098181818154729e-14 2.829461818181808286e-13 3.759505454545440771e-14 2.174261818181811744e-13 4.183200000000000205e-18 1.672800000000000282e-16
6.314999999999999503e+00 1.762521428571429532e-15 1.055507142857143630e-14 2.139428571428572666e-15 1.822692857142858056e-14 3.704866666666665950e-18 1.392799999999999430e-16
6.402499999999999858e+00 1.298226428571428365e-15 7.788021428571428539e-15 1.578608571428571375e-15 1.345917857142856851e-14 3.465700000000000749e-18 1.252800000000000360e-16
6.490000000000000213e+00 8.339314285714272956e-16 5.020971428571421570e-15 1.017788571428569689e-15 8.691428571428556464e-15 3.004697142857141115e-18 1.103017142857142325e-16
6.675000000000000711e+00 4.570589189189183648e-16 2.768156756756753983e-15 5.612837837837831954e-16 4.800162162162156404e-15 1.986034285714280320e-18 7.843942857142839471e-17
6.767500000000000071e+00 3.806189189189189410e-16 2.307956756756757273e-15 4.680737837837838956e-16 4.000662162162162247e-15 1.502570270270269841e-18 6.322294594594592144e-17
6.860000000000000320e+00 3.041789189189187284e-16 1.847756756756755829e-15 3.748637837837836096e-16 3.201162162162160595e-15 1.312270270270269397e-18 5.610594594594590608e-17
7.054999999999999716e+00 2.274800000000000992e-16 1.387300000000000672e-15 2.815600000000001319e-16 2.394900000000000715e-15 9.110972972972979414e-19 4.110254054054056123e-17
7.152499999999999858e+00 2.036900000000000124e-16 1.244950000000000242e-15 2.527000000000000929e-16 2.143350000000000404e-15 7.368476923076930699e-19 3.444607692307695678e-17
7.250000000000000000e+00 1.798999999999999502e-16 1.102599999999999812e-15 2.238400000000000046e-16 1.891799999999999699e-15 6.503876923076925300e-19 3.060707692307693275e-17
