# k[h/mpc]  pk_dm  pk_gas    
5.933809999999999779e-02 3.232301118914560008e-05 3.232301118914560008e-05
6.309570000000000456e-02 3.098212239933439743e-05 3.098212239933439743e-05
6.709139999999999548e-02 2.965189720801280105e-05 2.965189720801280105e-05
7.134000000000000064e-02 2.821902900920319731e-05 2.821902900920319731e-05
7.585780000000000300e-02 2.657368743608319722e-05 2.657368743608319722e-05
8.066159999999999997e-02 2.464841465856000292e-05 2.464841465856000292e-05
8.576960000000000139e-02 2.246054489620479875e-05 2.246054489620479875e-05
9.120109999999999328e-02 2.013479997276160143e-05 2.013479997276160143e-05
9.697649999999999326e-02 1.788172723814400000e-05 1.788172723814400000e-05
1.031180000000000013e-01 1.592798688051199802e-05 1.592798688051199802e-05
1.096479999999999955e-01 1.442521808896000082e-05 1.442521808896000082e-05
1.165910000000000002e-01 1.337666222161919913e-05 1.337666222161919913e-05
1.239750000000000019e-01 1.261484910837760026e-05 1.261484910837760026e-05
1.318259999999999987e-01 1.185862616350719951e-05 1.185862616350719951e-05
1.401739999999999930e-01 1.086653569433600119e-05 1.086653569433600119e-05
1.490499999999999881e-01 9.620256980992000350e-06 9.620256980992000350e-06
1.584889999999999910e-01 8.357583572172800173e-06 8.357583572172800173e-06
1.685260000000000091e-01 7.368781437337599351e-06 7.368781437337599351e-06
1.791979999999999962e-01 6.734743601152000228e-06 6.734743601152000228e-06
1.905459999999999932e-01 6.256666764902399986e-06 6.256666764902399986e-06
2.026129999999999876e-01 5.665987965747199856e-06 5.665987965747199856e-06
2.154429999999999956e-01 4.944621364838400040e-06 4.944621364838400040e-06
2.290870000000000128e-01 4.321101500907520367e-06 4.321101500907520367e-06
2.435940000000000050e-01 3.906038545776640186e-06 3.906038545776640186e-06
2.590199999999999725e-01 3.543945959178239898e-06 3.543945959178239898e-06
2.754229999999999734e-01 3.114621028270079681e-06 3.114621028270079681e-06
2.928640000000000132e-01 2.729688610897919584e-06 2.729688610897919584e-06
3.114109999999999934e-01 2.448047472639999826e-06 2.448047472639999826e-06
3.311310000000000087e-01 2.170826795253759991e-06 2.170826795253759991e-06
3.521009999999999973e-01 1.901911510876159856e-06 1.901911510876159856e-06
3.743980000000000086e-01 1.688601960120320113e-06 1.688601960120320113e-06
3.981069999999999887e-01 1.487623663124480097e-06 1.487623663124480097e-06
4.233180000000000276e-01 1.307592055848960015e-06 1.307592055848960015e-06
4.501249999999999973e-01 1.152927599165440001e-06 1.152927599165440001e-06
4.786299999999999999e-01 1.011275551211519898e-06 1.011275551211519898e-06
5.089399999999999480e-01 8.887897948159999898e-07 8.887897948159999898e-07
5.411700000000000399e-01 7.788044065177600664e-07 7.788044065177600664e-07
5.754399999999999515e-01 6.825924414668799418e-07 6.825924414668799418e-07
6.118810000000000082e-01 5.972930487910399028e-07 5.972930487910399028e-07
6.506290000000000129e-01 5.222955378278399964e-07 5.222955378278399964e-07
6.918309999999999738e-01 4.563245046169599843e-07 4.563245046169599843e-07
7.356420000000000181e-01 3.982788269178879613e-07 3.982788269178879613e-07
7.822280000000000344e-01 3.473359513845760017e-07 3.473359513845760017e-07
8.317639999999999478e-01 3.026662782402560195e-07 3.026662782402560195e-07
8.844370000000000287e-01 2.635219463045119823e-07 2.635219463045119823e-07
9.404449999999999754e-01 2.292532746649599954e-07 2.292532746649599954e-07
1.000000000000000000e+00 1.992843350507520144e-07 1.992843350507520144e-07
1.063330000000000108e+00 1.731007380193280066e-07 1.731007380193280066e-07
1.130659999999999998e+00 1.502449353359360020e-07 1.502449353359360020e-07
1.202260000000000106e+00 1.303110525911039917e-07 1.303110525911039917e-07
1.278399999999999981e+00 1.129406613422080139e-07 1.129406613422080139e-07
1.359359999999999902e+00 9.781902101708799706e-08 9.781902101708799706e-08
1.445440000000000058e+00 8.466286510079998638e-08 8.466286510079998638e-08
1.536969999999999947e+00 7.322697780428800575e-08 7.322697780428800575e-08
1.634309999999999929e+00 6.329479882342400203e-08 6.329479882342400203e-08
1.737800000000000011e+00 5.467419548057599087e-08 5.467419548057599087e-08
1.847849999999999993e+00 4.719840224870400007e-08 4.719840224870400007e-08
1.964869999999999894e+00 4.071935013027840001e-08 4.071935013027840001e-08
2.089300000000000157e+00 3.510874710999039366e-08 3.510874710999039366e-08
2.221600000000000019e+00 3.025342751047680025e-08 3.025342751047680025e-08
2.362289999999999779e+00 2.605455339683840051e-08 2.605455339683840051e-08
2.511890000000000178e+00 2.242573552844800040e-08 2.242573552844800040e-08
2.670960000000000001e+00 1.929176500142079801e-08 1.929176500142079801e-08
2.840100000000000069e+00 1.658682815283200061e-08 1.658682815283200061e-08
3.019950000000000134e+00 1.425361401282559834e-08 1.425361401282559834e-08
3.211190000000000211e+00 1.224232780431359963e-08 1.224232780431359963e-08
3.414550000000000196e+00 1.050951653785599935e-08 1.050951653785599935e-08
3.630780000000000118e+00 9.017552273407999146e-09 9.017552273407999146e-09
3.860710000000000086e+00 7.733692596223999499e-09 7.733692596223999499e-09
4.105190000000000339e+00 6.629469926195199716e-09 6.629469926195199716e-09
